Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TFN-5D23;01/09/2025 00:00:00 - 30/09/2025 23:59:59;93:38:30;80:49:08;12:49:22;441:09:13;2999,31;$ 0,00;$ 0,00;162
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 17:03:45 - 02/09/2025 17:07:26;Ligado;00:03:41;00:02:11;00:01:30; - ;0.83;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 17:07:26 - 02/09/2025 17:12:00;Desligado; - ; - ; - ;00:04:34; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 17:12:00 - 02/09/2025 19:10:10;Ligado;01:58:10;01:44:07;00:14:03; - ;60.95;Jandaia -  GO -  Brasil;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 19:10:10 - 03/09/2025 05:09:23;Desligado; - ; - ; - ;09:59:13; - ;Rua da Republica, 301, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 05:09:23 - 03/09/2025 06:18:23;Ligado;01:09:00;01:00:56;00:08:04; - ;47.04;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 06:18:23 - 03/09/2025 06:20:25;Desligado; - ; - ; - ;00:02:02; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 06:20:25 - 03/09/2025 06:48:01;Ligado;00:27:36;00:25:32;00:02:04; - ;10.53;Jandaia -  GO -  Brasil;Rua da Republica -  326 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 06:48:01 - 03/09/2025 11:02:27;Desligado; - ; - ; - ;04:14:26; - ;Rua da Republica, 326, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 11:02:27 - 03/09/2025 11:07:52;Ligado;00:05:25;00:02:55;00:02:30; - ;0.91;Rua da Republica -  297 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 11:07:52 - 03/09/2025 11:10:31;Desligado; - ; - ; - ;00:02:39; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
