Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TFE-6D41;01/09/2025 00:00:00 - 30/09/2025 23:59:59;89:48:19;78:35:54;11:12:25;460:54:44;3208,96;$ 0,00;$ 0,00;255
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 20:15:36 - 02/09/2025 20:18:46;Ligado;00:03:10;00:02:01;00:01:09; - ;0.04;Avenida A -  285 -  Jandaia - GO -  75950-000 -  Brasil;Avenida A -  285 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 20:18:46 - 03/09/2025 05:11:05;Desligado; - ; - ; - ;08:52:19; - ;Avenida A, 285, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 05:11:05 - 03/09/2025 06:43:27;Ligado;01:32:22;01:18:15;00:14:07; - ;50.82;Avenida A -  285 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Dona Gercina Borges -  302 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 06:43:27 - 03/09/2025 07:00:54;Desligado; - ; - ; - ;00:17:27; - ;Avenida Dona Gercina Borges, 302, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 07:00:54 - 03/09/2025 07:02:31;Ligado;00:01:37;00:00:57;00:00:40; - ;0.39;Rua Beraldo Caetano Gomes -  309 -  Jandaia - GO -  75950-000 -  Brasil;Rua da Republica -  283 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 07:02:31 - 03/09/2025 07:22:41;Desligado; - ; - ; - ;00:20:10; - ;Rua da Republica, 283, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 07:22:41 - 03/09/2025 07:25:12;Ligado;00:02:31;00:01:50;00:00:41; - ;0.72;Rua da Republica -  283 -  Jandaia - GO -  75950-000 -  Brasil;Avenida A -  293 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 07:25:12 - 03/09/2025 10:00:54;Desligado; - ; - ; - ;02:35:42; - ;Avenida A, 293, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 10:00:54 - 03/09/2025 10:02:21;Ligado;00:01:27;00:00:48;00:00:39; - ;0.02;Avenida A -  293 -  Jandaia - GO -  75950-000 -  Brasil;Rua F-Sete -  2 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 10:02:21 - 03/09/2025 10:29:47;Desligado; - ; - ; - ;00:27:26; - ;Rua F-Sete, 2, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 10:29:47 - 03/09/2025 10:30:52;Ligado;00:01:05;00:00:30;00:00:35; - ;0.03;Rua F-Sete -  2 -  Jandaia - GO -  75950-000 -  Brasil;Avenida A -  285 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 10:30:52 - 03/09/2025 10:43:23;Desligado; - ; - ; - ;00:12:31; - ;Avenida A, 285, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 10:43:23 - 03/09/2025 10:48:12;Ligado;00:04:49;00:03:53;00:00:56; - ;1.85;Avenida A -  293 -  Jandaia - GO -  75950-000 -  Brasil;Rua Pl -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 10:48:12 - 03/09/2025 11:01:58;Desligado; - ; - ; - ;00:13:46; - ;Rua Pl, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 11:01:58 - 03/09/2025 11:06:53;Ligado;00:04:55;00:03:30;00:01:25; - ;1.34;Rua Pl -  Jandaia - GO -  75950-000 -  Brasil;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 11:06:53 - 03/09/2025 11:21:40;Desligado; - ; - ; - ;00:14:47; - ;Rua Jose Faria Campos, 112, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 11:21:40 - 03/09/2025 12:52:18;Ligado;01:30:38;01:25:23;00:05:15; - ;52.17;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;Rua F-Sete -  20 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 12:52:18 - 03/09/2025 16:48:44;Desligado; - ; - ; - ;03:56:26; - ;Rua F-Sete, 20, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 16:48:44 - 03/09/2025 16:51:30;Ligado;00:02:46;00:02:11;00:00:35; - ;0.45;Rua F-Sete -  62 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 16:51:30 - 03/09/2025 17:11:57;Desligado; - ; - ; - ;00:20:27; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;03/09/2025 17:11:57 - 03/09/2025 17:17:42;Ligado;00:05:45;00:05:34;00:00:11; - ;1.84;Jandaia -  GO -  Brasil;Rua Jose Faria Campos -  56 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
