Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TFK-9J63;01/09/2025 00:00:00 - 30/09/2025 23:59:59;101:05:18;85:32:43;15:32:35;411:51:51;2822,98;$ 0,00;$ 0,00;195
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 17:17:20 - 02/09/2025 17:20:54;Desligado; - ; - ; - ;00:03:34; - ;Rua Jose Faria Campos, 112, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 17:20:54 - 02/09/2025 18:54:40;Ligado;01:33:46;01:24:00;00:09:46; - ;48.56;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 18:54:40 - 03/09/2025 04:45:30;Desligado; - ; - ; - ;09:50:50; - ;Avenida Afonso Pena, 2, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 04:45:30 - 03/09/2025 06:45:39;Ligado;02:00:09;01:38:59;00:21:10; - ;54.25;Avenida Afonso Pena -  Jandaia - GO -  75950-000 -  Brasil;Rua Manoel M. Borges -  311 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 06:45:39 - 03/09/2025 06:48:26;Desligado; - ; - ; - ;00:02:47; - ;Rua Manoel M. Borges, 311, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 06:48:26 - 03/09/2025 06:50:06;Ligado;00:01:40;00:00:40;00:01:00; - ;0.30;Rua Manoel M. Borges -  311 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 06:50:06 - 03/09/2025 10:11:58;Desligado; - ; - ; - ;03:21:52; - ;Avenida Afonso Pena, 2, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 10:11:58 - 03/09/2025 10:19:39;Ligado;00:07:41;00:06:29;00:01:12; - ;2.51;Avenida Afonso Pena -  Jandaia - GO -  75950-000 -  Brasil;Avenida Juscelino Kubitschek de Oliveira -  240 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 10:19:39 - 03/09/2025 10:40:18;Desligado; - ; - ; - ;00:20:39; - ;Avenida Juscelino Kubitschek de Oliveira, 240, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 10:40:18 - 03/09/2025 10:45:55;Ligado;00:05:37;00:04:37;00:01:00; - ;1.46;Avenida Galdino A. de Sousa -  2 -  Jandaia - GO -  75950-000 -  Brasil;Rua Pl -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 10:45:55 - 03/09/2025 11:01:42;Desligado; - ; - ; - ;00:15:47; - ;Rua Pl, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 11:01:42 - 03/09/2025 11:16:03;Ligado;00:14:21;00:09:20;00:05:01; - ;3.77;Rua Pl -  Jandaia - GO -  75950-000 -  Brasil;Rua Jose Faria Campos -  158 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;03/09/2025 11:16:03 - 03/09/2025 11:17:35;Desligado; - ; - ; - ;00:01:32; - ;Rua Jose Faria Campos, 158, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
